TIC_ID,Rejection_Reason
119556803,"Stellar Radius Regime: R_p=26.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8484K exceeds 4000K — likely stellar variability | Transit duration 122.1h is >20% of orbital period (10.19d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.094%, significance=4.117 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
242389810,"Stellar Radius Regime: R_p=29.9 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7074K exceeds 4000K — likely stellar variability | Transit duration 105.1h is >20% of orbital period (17.58d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.137%, significance=4.744 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
372048733,"Radius 21.5 R⊕ in brown dwarf regime (13-22 R⊕) | Equilibrium temperature 10685K exceeds 4000K — likely stellar variability | Transit duration 61.0h is >20% of orbital period (5.10d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.058%, significance=4.023 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
428251130,"Equilibrium temperature 5960K exceeds 4000K — likely stellar variability | Transit duration 176.2h is >20% of orbital period (29.39d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.023%, significance=4.497 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
2621212,Stellar Radius Regime: R_p=39.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5513K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
418471796,Stellar Radius Regime: R_p=100.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5374K exceeds 4000K — likely stellar variability | Transit duration 240.5h is >20% of orbital period (40.09d) | Grazing or stellar eclipse morphology. | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
2621212,Stellar Radius Regime: R_p=39.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5513K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
418471796,Stellar Radius Regime: R_p=100.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5374K exceeds 4000K — likely stellar variability | Transit duration 240.5h is >20% of orbital period (40.09d) | Grazing or stellar eclipse morphology. | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
150353011,"Stellar Radius Regime: R_p=1033.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7030K exceeds 4000K — likely stellar variability | Transit duration 91.7h is >20% of orbital period (17.91d) | Secondary eclipse detected at phase 0.5 (depth=0.146%, significance=2.484 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
219730073,Stellar Radius Regime: R_p=203.0 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 10.7h is >20% of orbital period (2.03d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
261136679,"Stellar Radius Regime: R_p=986.8 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6918K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.143%, significance=2.102 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
2621212,"Stellar Radius Regime: R_p=785.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7467K exceeds 4000K — likely stellar variability | Transit duration 34.0h is >20% of orbital period (6.25d) | Secondary eclipse detected at phase 0.5 (depth=0.132%, significance=2.465 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
281885301,"Equilibrium temperature 5399K exceeds 4000K — likely stellar variability | Transit duration 9.5h is >20% of orbital period (0.79d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.072%, significance=4.567 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
73723286,"Stellar Radius Regime: R_p=299.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.127%, significance=2.068 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
2621212,"Equilibrium temperature 9111K exceeds 4000K � likely stellar variability | Transit duration 18.0h is >20% of orbital period (1.50d) | Grazing or stellar eclipse morphology. | Secondary eclipse detected at phase 0.5 (depth=0.070%, significance=5.066 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
2621212,"Radius 21.6 R⊕ in brown dwarf regime (13-22 R⊕) | Equilibrium temperature 7926K exceeds 4000K — likely stellar variability | Transit duration 75.0h is >20% of orbital period (12.49d) | Secondary eclipse detected at phase 0.5 (depth=0.072%, significance=5.027 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
150353011,"Stellar Radius Regime: R_p=725.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6606K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.134%, significance=2.026 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
231706544,Stellar Radius Regime: R_p=61.5 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
383829317,Stellar Radius Regime: R_p=421.9 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4485K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
179367009,Stellar Radius Regime: R_p=1009.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8537K exceeds 4000K — likely stellar variability | Transit duration 113.6h is >20% of orbital period (10.00d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
394509844,"Stellar Radius Regime: R_p=1010.8 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7093K exceeds 4000K — likely stellar variability | Transit duration 83.7h is >20% of orbital period (17.43d) | Secondary eclipse detected at phase 0.5 (depth=0.134%, significance=2.406 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
321578632,"Stellar Radius Regime: R_p=555.8 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5383K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.140%, significance=2.095 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
410214986,"Stellar Radius Regime: R_p=947.0 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7222K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.131%, significance=2.345 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
260304296,Stellar Radius Regime: R_p=298.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 15.3h is >20% of orbital period (2.99d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
157586003,Stellar Radius Regime: R_p=766.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6782K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
236887394,Stellar Radius Regime: R_p=279.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 13.7h is >20% of orbital period (2.51d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
318491006,Stellar Radius Regime: R_p=404.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4603K exceeds 4000K — likely stellar variability | Transit duration 20.1h is >20% of orbital period (3.92d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
229536616,"Stellar Radius Regime: R_p=113.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 6.9h is >20% of orbital period (1.43d) | Secondary eclipse detected at phase 0.5 (depth=0.134%, significance=2.327 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
417676622,Stellar Radius Regime: R_p=1055.0 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7021K exceeds 4000K — likely stellar variability | Transit duration 97.8h is >20% of orbital period (17.98d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
207081058,Stellar Radius Regime: R_p=1013.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7499K exceeds 4000K — likely stellar variability | Transit duration 70.8h is >20% of orbital period (14.75d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
138359318,Stellar Radius Regime: R_p=246.5 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
149603524,Stellar Radius Regime: R_p=300.6 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
219157235,"Stellar Radius Regime: R_p=925.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7629K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.130%, significance=2.001 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
261136679,Stellar Radius Regime: R_p=756.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6984K exceeds 4000K — likely stellar variability | Transit duration 36.0h is >20% of orbital period (7.50d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
179317648,Stellar Radius Regime: R_p=1021.9 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6977K exceeds 4000K — likely stellar variability | Transit duration 93.8h is >20% of orbital period (18.32d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
318491006,Stellar Radius Regime: R_p=690.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6832K exceeds 4000K — likely stellar variability | Transit duration 30.5h is >20% of orbital period (5.60d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
231615959,The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
260304296,"Stellar Radius Regime: R_p=107.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 6.3h is >20% of orbital period (1.23d) | Secondary eclipse detected at phase 0.5 (depth=0.138%, significance=2.496 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
241569046,"Stellar Radius Regime: R_p=51.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.149%, significance=2.581 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
144582749,"Stellar Radius Regime: R_p=372.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4208K exceeds 4000K — likely stellar variability | Transit duration 19.3h is >20% of orbital period (4.02d) | Secondary eclipse detected at phase 0.5 (depth=0.119%, significance=2.03 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
229536616,Stellar Radius Regime: R_p=112.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 6.9h is >20% of orbital period (1.43d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
266980320,Stellar Radius Regime: R_p=1009.8 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 10756K exceeds 4000K — likely stellar variability | Transit duration 58.4h is >20% of orbital period (5.00d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
17932757,"Stellar Radius Regime: R_p=293.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.135%, significance=2.134 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
300381700,"Stellar Radius Regime: R_p=295.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.134%, significance=2.224 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
220475245,"Stellar Radius Regime: R_p=346.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.113%, significance=2.026 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
159400561,"Stellar Radius Regime: R_p=534.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 5611K exceeds 4000K — likely stellar variability | Transit duration 25.6h is >20% of orbital period (5.00d) | Secondary eclipse detected at phase 0.5 (depth=0.122%, significance=2.426 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
341420329,Stellar Radius Regime: R_p=295.1 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
231615959,Stellar Radius Regime: R_p=50.3 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
182943944,Stellar Radius Regime: R_p=293.0 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
149603524,Stellar Radius Regime: R_p=417.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4459K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
291555748,"Stellar Radius Regime: R_p=293.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.122%, significance=2.029 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
310565804,"Stellar Radius Regime: R_p=232.9 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.130%, significance=2.292 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
140033363,"Stellar Radius Regime: R_p=435.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4624K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.131%, significance=2.254 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
321982642,Stellar Radius Regime: R_p=1003.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7967K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
167401015,Stellar Radius Regime: R_p=1029.9 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7284K exceeds 4000K — likely stellar variability | Transit duration 82.4h is >20% of orbital period (16.10d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
266213232,"Stellar Radius Regime: R_p=1009.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8537K exceeds 4000K — likely stellar variability | Transit duration 116.8h is >20% of orbital period (10.00d) | Secondary eclipse detected at phase 0.5 (depth=0.111%, significance=2.863 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
150428135,"Stellar Radius Regime: R_p=993.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6894K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.139%, significance=2.121 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
261136679,"Stellar Radius Regime: R_p=291.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Transit duration 15.8h is >20% of orbital period (3.29d) | Secondary eclipse detected at phase 0.5 (depth=0.125%, significance=2.128 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
261136679,"Stellar Radius Regime: R_p=216.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Secondary eclipse detected at phase 0.5 (depth=0.128%, significance=2.161 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
261136679,Stellar Radius Regime: R_p=30.6 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
261136679,Stellar Radius Regime: R_p=254.2 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
27294830,The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
280035202,"Stellar Radius Regime: R_p=931.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8231K exceeds 4000K — likely stellar variability | Transit duration 44.0h is >20% of orbital period (9.17d) | Secondary eclipse detected at phase 0.5 (depth=0.137%, significance=2.251 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
302305400,"Stellar Radius Regime: R_p=845.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7872K exceeds 4000K — likely stellar variability | Transit duration 36.3h is >20% of orbital period (6.67d) | Secondary eclipse detected at phase 0.5 (depth=0.126%, significance=2.351 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
52260140,Stellar Radius Regime: R_p=928.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7002K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
172630205,Stellar Radius Regime: R_p=228.0 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
34068865,The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
449491381,"Stellar Radius Regime: R_p=1012.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7925K exceeds 4000K — likely stellar variability | Transit duration 64.0h is >20% of orbital period (12.50d) | Secondary eclipse detected at phase 0.5 (depth=0.133%, significance=2.225 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
402026209,Stellar Radius Regime: R_p=90.9 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
149022647,Stellar Radius Regime: R_p=747.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6836K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
318796593,"Stellar Radius Regime: R_p=994.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7425K exceeds 4000K — likely stellar variability | Transit duration 177.5h is >20% of orbital period (15.20d) | Secondary eclipse detected at phase 0.5 (depth=0.103%, significance=3.705 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
261136679,Stellar Radius Regime: R_p=986.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7621K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
382200953,"Stellar Radius Regime: R_p=1047.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6999K exceeds 4000K — likely stellar variability | Transit duration 98.7h is >20% of orbital period (18.14d) | Secondary eclipse detected at phase 0.5 (depth=0.145%, significance=2.381 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
231615731,"Stellar Radius Regime: R_p=996.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8763K exceeds 4000K — likely stellar variability | Transit duration 44.3h is >20% of orbital period (8.64d) | Secondary eclipse detected at phase 0.5 (depth=0.127%, significance=2.12 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
425934411,Stellar Radius Regime: R_p=343.0 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6299K exceeds 4000K — likely stellar variability | Transit duration 11.8h is >20% of orbital period (1.01d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
14193736,Stellar Radius Regime: R_p=1045.3 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8206K exceeds 4000K — likely stellar variability | Transit duration 61.3h is >20% of orbital period (11.26d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
14193736,Stellar Radius Regime: R_p=154.3 R⊕ exceeds all known planetary radii (>22 R⊕) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
425934411,"Stellar Radius Regime: R_p=343.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6299K exceeds 4000K — likely stellar variability | Transit duration 11.8h is >20% of orbital period (1.01d) | Secondary eclipse detected at phase 0.5 (depth=0.084%, significance=2.195 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
231615731,"Stellar Radius Regime: R_p=988.6 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8763K exceeds 4000K — likely stellar variability | Transit duration 44.3h is >20% of orbital period (8.64d) | Secondary eclipse detected at phase 0.5 (depth=0.120%, significance=2.395 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
382200953,"Stellar Radius Regime: R_p=1017.7 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6999K exceeds 4000K — likely stellar variability | Transit duration 92.9h is >20% of orbital period (18.14d) | Secondary eclipse detected at phase 0.5 (depth=0.131%, significance=2.34 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
261136679,Stellar Radius Regime: R_p=927.1 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7620K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
27294830,"Stellar Radius Regime: R_p=739.9 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7129K exceeds 4000K — likely stellar variability | Transit duration 34.4h is >20% of orbital period (6.71d) | Secondary eclipse detected at phase 0.5 (depth=0.125%, significance=2.314 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
280035202,"Stellar Radius Regime: R_p=1036.7 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8786K exceeds 4000K — likely stellar variability | Transit duration 49.9h is >20% of orbital period (9.17d) | Secondary eclipse detected at phase 0.5 (depth=0.132%, significance=2.247 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
302305400,Stellar Radius Regime: R_p=476.2 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4961K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
190643105,Stellar Radius Regime: R_p=404.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4459K exceeds 4000K — likely stellar variability | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
52260140,"Stellar Radius Regime: R_p=626.5 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 6013K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.137%, significance=2.084 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
172630205,Stellar Radius Regime: R_p=780.4 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 7888K exceeds 4000K — likely stellar variability | Transit duration 31.2h is >20% of orbital period (5.00d) | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density.
449491381,"Stellar Radius Regime: R_p=418.0 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 4498K exceeds 4000K — likely stellar variability | Secondary eclipse detected at phase 0.5 (depth=0.160%, significance=2.349 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
149022647,"Stellar Radius Regime: R_p=1018.7 R⊕ exceeds all known planetary radii (>22 R⊕) | Equilibrium temperature 8033K exceeds 4000K — likely stellar variability | Transit duration 61.4h is >20% of orbital period (12.00d) | Secondary eclipse detected at phase 0.5 (depth=0.131%, significance=2.366 sigma). | The sovereign anti-confirmation logic rejected the candidate because the transit duration is incompatible with the host density."
